season,full_name,epa,value_per_game
2022,G.Pickens,47.432762,2.7901626
2022,G.Ricci,3.742291,0.22013476
2022,G.Smith,8.006798,0.4709881
2022,G.Swaim,-1.832334,0.0
2022,G.Wilson,30.760704,1.8094531
2022,H.Bryant,3.7923012,0.22307654
2022,H.Haskins,-6.093991,0.0
2022,H.Henry,13.664597,0.8037998
2022,H.Hurst,25.545992,1.5027055
2022,H.Long,-0.5341842,0.0
2022,H.Renfrow,3.0979152,0.18223031
2022,I.Hodgins,16.286089,0.95800525
2022,I.Likely,-5.3532324,0.0
2022,I.McKenzie,13.303711,0.78257126
2022,I.Pacheco,7.908594,0.46521142
2022,I.Smith,-4.1317625,0.0
2022,I.Smith-Marsette,-8.928142,0.0
2022,I.Spiller,-7.261182,0.0
2022,I.Thomas,4.008337,0.23578453
2022,J.Agnew,6.737794,0.39634082
2022,J.Akins,21.46381,1.262577
2022,J.Ali,-0.5190199,0.0
2022,J.Allen,119.95812,7.0563602
2022,J.Bates,-2.8533657,0.0
2022,J.Brissett,32.597687,1.917511
2022,J.Brown,-1.345151,0.0
2022,J.Burrow,102.88395,6.051997
2022,J.Cabinda,-1.2906432,0.0
2022,J.Camp,0.5108519,0.030050114
2022,J.Chase,41.380642,2.4341555
2022,J.Chestnut,-4.205697,0.0
2022,J.Conklin,-1.5234389,0.0
2022,J.Conner,-8.528196,0.0
2022,J.Cook,6.242487,0.3672051
2022,J.Crowder,-1.096483,0.0
2022,J.Darden,0.4570039,0.026882581
2022,J.Deguara,3.4746857,0.20439327
2022,J.Dobbins,12.869074,0.7570043
2022,J.Dobbs,-7.187107,0.0
2022,J.Dotson,20.0932,1.181953
2022,J.Driskel,-11.163203,0.0
2022,J.Eason,-2.261282,0.0
2022,J.Ferguson,10.313135,0.606655
2022,J.Fields,-18.898392,0.0
2022,J.Flacco,-30.28778,0.0
2022,J.Ford,-3.4290981,0.0
2022,J.Fortson,6.6469307,0.39099592
2022,J.Fox,2.9525986,0.17368227
2022,J.Garoppolo,58.629368,3.4487863
2022,J.Gervase,2.6160583,0.15388578
