player_id,total_snaps,pass_snaps,run_snaps,total_pressures,total_tfls,pressure_generated,tfl_rate,player_name,position,team
00-0039741,491,326,165,57,14,0.17484662576687116,0.08484848484848485,Payton Wilson,LB,PIT
00-0036902,537,327,210,57,17,0.1743119266055046,0.08095238095238096,Joseph Ossai,DL,CIN
00-0038127,536,310,226,54,24,0.17419354838709677,0.10619469026548672,Logan Hall,DL,TB
00-0034874,1033,667,366,116,32,0.17391304347826086,0.08743169398907104,Roquan Smith,LB,BAL
00-0031935,438,254,184,44,19,0.1732283464566929,0.10326086956521739,Preston Smith,DL,WAS
00-0033297,475,244,231,42,16,0.1721311475409836,0.06926406926406926,D.J. Jones,DL,DEN
00-0037007,435,314,121,54,13,0.17197452229299362,0.10743801652892562,Patrick Jones II,LB,CAR
00-0027969,792,456,336,78,31,0.17105263157894737,0.09226190476190477,Cameron Heyward,DL,PIT
00-0036914,819,497,322,85,34,0.1710261569416499,0.10559006211180125,Greg Rousseau,DL,BUF
00-0036224,915,592,323,101,31,0.17060810810810811,0.09597523219814241,Jonathan Greenard,LB,MIN
00-0035697,1022,563,459,95,29,0.16873889875666073,0.06318082788671024,Germaine Pratt,LB,IND
00-0035272,914,588,326,99,35,0.1683673469387755,0.10736196319018405,Andrew Van Ginkel,LB,MIN
00-0035230,688,417,271,70,31,0.16786570743405277,0.11439114391143912,Ed Oliver,DL,BUF
00-0035276,901,584,317,98,33,0.1678082191780822,0.10410094637223975,Blake Cashman,LB,MIN
00-0034397,653,394,259,66,31,0.16751269035532995,0.11969111969111969,Tim Settle,DL,HOU
00-0029562,1083,678,405,113,35,0.16666666666666666,0.08641975308641975,Lavonte David,LB,TB
00-0033886,950,571,379,95,38,0.16637478108581435,0.10026385224274406,T.J. Watt,LB,PIT
00-0039068,797,511,286,85,31,0.16634050880626222,0.10839160839160839,Yaya Diaby,LB,TB
00-0037254,867,494,373,82,39,0.1659919028340081,0.10455764075067024,Terrel Bernard,LB,BUF
00-0037611,554,326,228,54,29,0.1656441717791411,0.12719298245614036,Kayvon Thibodeaux,LB,NYG
00-0033914,639,402,237,66,20,0.16417910447761194,0.08438818565400844,Alex Anzalone,LB,DET
00-0036323,1098,647,451,106,46,0.16383307573415765,0.10199556541019955,Patrick Queen,LB,PIT
00-0035352,807,464,343,76,27,0.16379310344827586,0.07871720116618076,Tyrel Dodson,LB,MIA
00-0039111,722,429,293,70,25,0.16317016317016317,0.08532423208191127,Tuli Tuipulotu,LB,LAC
