player_id,snaps,avg_epa,pressure_allowed,OL_Value_EPA,player_name,position,team
00-0039014,483,-0.14583135,0.15320910973084886,-0.14583135,Dawand Jones,OL,CLE
00-0039019,920,-0.1446303,0.125,-0.1446303,John Michael Schmitz,OL,NYG
00-0039020,533,-0.02420089,0.1050656660412758,-0.02420089,Anthony Bradford,OL,SEA
00-0039034,1030,-0.11610107,0.10582524271844661,-0.11610107,Peter Skoronski,OL,TEN
00-0039048,1037,0.050713256,0.08003857280617165,0.050713256,Matthew Bergeron,OL,ATL
00-0039058,686,0.030175963,0.09475218658892129,0.030175963,Steve Avila,OL,LA
00-0039109,1059,-0.01625918,0.10764872521246459,-0.01625918,Broderick Jones,OL,PIT
00-0039145,1013,-0.016975813,0.09279368213228036,-0.016975813,Joe Tippmann,OL,NYJ
00-0039157,1121,0.13293836,0.05263157894736842,0.13293836,Cody Mauch,OL,TB
00-0039233,1003,0.2163599,0.05782652043868395,0.2163599,Roger Rosengarten,OL,BAL
00-0039339,1011,-0.058742553,0.0840751730959446,-0.058742553,Taliese Fuaga,OL,NO
00-0039341,623,-0.031109475,0.0738362760834671,-0.031109475,Tyler Guyton,OL,DAL
00-0039348,990,-0.1273131,0.0797979797979798,-0.1273131,Cooper Beebe,OL,DAL
00-0039349,933,-0.13351122,0.09753483386923902,-0.13351122,DJ Glaze,OL,LV
00-0039351,1013,0.0674243,0.07601184600197433,0.0674243,Dominick Puni,OL,SF
00-0039358,891,-0.032409202,0.10437710437710437,-0.032409202,Mason McCormick,OL,PIT
00-0039578,438,-0.09560638,0.09817351598173515,-0.09560638,Dalton Tucker,OL,IND
00-0039731,1030,-0.11610107,0.10582524271844661,-0.11610107,JC Latham,OL,TEN
00-0039735,895,-0.1346705,0.09608938547486033,-0.1346705,Jackson Powers-Johnson,OL,LV
00-0039736,536,-0.065761425,0.08395522388059702,-0.065761425,Matt Goncalves,OL,IND
00-0039753,977,0.028510636,0.09211873080859775,0.028510636,Beaux Limmer,OL,LA
00-0039790,502,-0.051107615,0.10159362549800798,-0.051107615,Olumuyiwa Fashanu,OL,NYJ
00-0039808,426,0.08175739,0.04460093896713615,0.08175739,Isaiah Adams,OL,ARI
00-0039857,455,-0.05670577,0.13846153846153847,-0.05670577,Blake Fisher,OL,HOU
00-0039887,564,-0.10319763,0.11347517730496454,-0.10319763,Layden Robinson,OL,LV
00-0039896,965,-0.050709747,0.10880829015544041,-0.050709747,Zach Frazier,OL,PIT
00-0039897,997,0.025926849,0.10531594784353059,0.025926849,Joe Alt,OL,LAC
00-0039905,1054,0.12593448,0.054079696394686905,0.12593448,Graham Barton,OL,TB
00-0039913,957,0.10538338,0.07314524555903866,0.10538338,Brandon Coleman,OL,WAS
00-0039925,784,0.08084864,0.11862244897959184,0.08084864,Amarius Mims,OL,CIN
