game_id,TEN_OL,TEN_DL,ARI_OL,ARI_DL,LV_OL,LV_DL,BAL_OL,BAL_DL,CHI_OL,CHI_DL,LA_OL,LA_DL,CLE_OL,CLE_DL,KC_OL,KC_DL,TB_OL,TB_DL,DAL_OL,DAL_DL,NYG_OL,NYG_DL,DEN_OL,DEN_DL,NO_OL,NO_DL,GB_OL,GB_DL,HOU_OL,HOU_DL,JAX_OL,JAX_DL,LAC_OL,LAC_DL,WAS_OL,WAS_DL,NE_OL,NE_DL,MIA_OL,MIA_DL,MIN_OL,MIN_DL,CIN_OL,CIN_DL,NYJ_OL,NYJ_DL,CAR_OL,CAR_DL,ATL_OL,ATL_DL,PHI_OL,PHI_DL,BUF_OL,BUF_DL,PIT_OL,PIT_DL,IND_OL,IND_DL,SEA_OL,SEA_DL,DET_OL,DET_DL,SF_OL,SF_DL
2021_03_MIA_LV,,,,,0.20710923099999998,0.49369604745105466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1005833136,0.5379189167637495,,,,,,,,,,,,,,,,,,,,,,,,
2021_03_NO_NE,,,,,,,,,,,,,,,,,,,,,,,,,0.322089541,0.48749635867940144,,,,,,,,,,,0.341401599,0.4561761732233925,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_03_NYJ_DEN,,,,,,,,,,,,,,,,,,,,,,,0.35962906699999997,0.5088400096608436,,,,,,,,,,,,,,,,,,,,,0.120175808,0.48032225306704524,,,,,,,,,,,,,,,,,,
2021_03_PHI_DAL,,,,,,,,,,,,,,,,,,,0.49179837499999995,0.46851020630971585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5499840899999999,0.44377377492836273,,,,,,,,,,,,
2021_03_SEA_MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.160449141,0.40758209892414715,,,,,,,,,,,,,,,,,0.35014122299999995,0.4581188479743378,,,,
2021_03_TB_LA,,,,,,,,,,,0.36293472399999993,0.400310665531366,,,,,0.511381204,0.4697831384456609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_03_WAS_BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2746420619,0.4525415211024759,,,,,,,,,,,,,,,,,0.76917664,0.412240611181856,,,,,,,,,,
2021_04_ARI_LA,,,0.24984258699999998,0.4546271588931732,,,,,,,0.3494496389999999,0.39745462896673217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_04_BAL_DEN,,,,,,,0.621950974,0.49363992205715423,,,,,,,,,,,,,,,0.36358631,0.492250920105826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_04_CAR_DAL,,,,,,,,,,,,,,,,,,,0.6697240849999999,0.4475720511734474,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291058036,0.4430299760157574,,,,,,,,,,,,,,,,
